seq	run	block	sp	tc
BBS50003	q3-ipssp	all	0.778	0.290
BBS50003	q3-ipssp	core	0.829	0.380
BBS50011	q3-ipssp	all	0.527	0.120
BBS50011	q3-ipssp	core	0.593	0.140
BB50004	ref	all	0.933	0.790
BB50004	ref	core	0.958	0.860
BB50005	q3	all	0.880	0.620
BB50005	q3	core	0.916	0.730
BBS50003	sov-ipssp	all	0.772	0.320
BBS50003	sov-ipssp	core	0.842	0.410
BB50016	abs	all	0.743	0.290
BB50016	abs	core	0.793	0.360
BB50009	q3-ipssp	all	0.731	0.190
BB50009	q3-ipssp	core	0.884	0.410
BBS50010	sov	all	0.758	0.310
BBS50010	sov	core	0.837	0.400
BBS50015	q3	all	0.591	0.190
BBS50015	q3	core	0.801	0.480
BB50009	abs	all	0.751	0.220
BB50009	abs	core	0.902	0.450
BB50009	sov-ipssp	all	0.736	0.140
BB50009	sov-ipssp	core	0.880	0.300
BB50013	q3-ipssp	all	0.900	0.620
BB50013	q3-ipssp	core	0.937	0.750
BB50006	sov	all	0.632	0.150
BB50006	sov	core	0.869	0.410
BB50014	sov	all	0.785	0.380
BB50014	sov	core	0.910	0.660
BBS50002	q3-ipssp	all	0.377	0.020
BBS50002	q3-ipssp	core	0.558	0.020
BBS50006	ref	all	0.662	0.250
BBS50006	ref	core	0.866	0.410
BB50007	sov-ipssp	all	0.531	0.000
BB50007	sov-ipssp	core	0.683	0.000
BBS50016	sov	all	0.747	0.290
BBS50016	sov	core	0.797	0.390
BBS50010	sov-ipssp	all	0.730	0.200
BBS50010	sov-ipssp	core	0.813	0.180
BB50010	q3	all	0.673	0.030
BB50010	q3	core	0.760	0.000
BB50001	ref	all	0.693	0.300
BB50001	ref	core	0.765	0.420
BB50003	sov	all	0.540	0.170
BB50003	sov	core	0.826	0.520
BB40009	abs	all	0.637	0.300
BB40009	abs	core	0.777	0.480
BB40003	sov-ipssp	all	0.846	0.650
BB40003	sov-ipssp	core	0.876	0.700
BB40034	q3-ipssp	all	0.547	0.120
BB40034	q3-ipssp	core	0.677	0.180
BB40046	q3	all	0.555	0.090
BB40046	q3	core	0.748	0.270
BB40005	q3	all	0.839	0.590
BB40005	q3	core	0.873	0.620
BB40012	ref	all	0.797	0.340
BB40012	ref	core	0.861	0.420
BB40026	q3	all	0.582	0.230
BB40026	q3	core	0.840	0.570
BB40021	abs	all	0.831	0.550
BB40021	abs	core	0.871	0.620
BB40038	sov	all	0.679	0.260
BB40038	sov	core	0.752	0.360
BB40024	sov	all	0.627	0.030
BB40024	sov	core	0.815	0.090
BB40019	q3-ipssp	all	0.830	0.590
BB40019	q3-ipssp	core	0.900	0.720
BB40026	sov-ipssp	all	0.560	0.210
BB40026	sov-ipssp	core	0.771	0.530
BB40044	q3-ipssp	all	0.774	0.000
BB40044	q3-ipssp	core	0.937	0.000
BB40033	abs	all	0.746	0.440
BB40033	abs	core	0.848	0.570
BB40031	ref	all	0.629	0.960
BB40031	ref	core	0.995	0.950
BB40027	abs	all	0.542	0.000
BB40027	abs	core	0.609	0.000
BB40036	abs	all	0.916	0.540
BB40036	abs	core	0.946	0.660
BB40016	sov-ipssp	all	0.823	0.000
BB40016	sov-ipssp	core	0.947	0.000
BB40040	q3	all	0.858	0.180
BB40040	q3	core	0.944	0.270
BB40041	sov	all	0.282	0.000
BB40041	sov	core	0.299	0.000
BB40026	abs	all	0.564	0.210
BB40026	abs	core	0.766	0.530
BB40031	abs	all	0.625	0.970
BB40031	abs	core	0.996	0.960
BB40036	q3-ipssp	all	0.922	0.560
BB40036	q3-ipssp	core	0.959	0.720
BB40046	sov-ipssp	all	0.553	0.090
BB40046	sov-ipssp	core	0.727	0.250
BB40041	ref	all	0.369	0.000
BB40041	ref	core	0.358	0.000
BB40006	ref	all	0.661	0.270
BB40006	ref	core	0.740	0.340
BB40033	q3-ipssp	all	0.735	0.480
BB40033	q3-ipssp	core	0.811	0.550
BB40045	q3	all	0.487	0.100
BB40045	q3	core	0.663	0.230
BB40039	ref	all	0.811	0.340
BB40039	ref	core	0.915	0.570
BB40049	q3	all	0.834	0.280
BB40049	q3	core	0.949	0.420
BB40037	ref	all	0.465	0.000
BB40037	ref	core	0.528	0.000
BB40015	sov	all	0.728	0.000
BB40015	sov	core	0.728	0.000
BB40049	ref	all	0.847	0.220
BB40049	ref	core	0.936	0.370
BB40028	abs	all	0.880	0.600
BB40028	abs	core	0.922	0.700
BB40033	ref	all	0.714	0.410
BB40033	ref	core	0.803	0.500
BB40028	sov-ipssp	all	0.873	0.600
BB40028	sov-ipssp	core	0.921	0.720
BB40047	q3	all	0.841	0.440
BB40047	q3	core	0.931	0.730
BB40022	ref	all	0.873	0.570
BB40022	ref	core	1.000	1.000
BB40019	abs	all	0.500	0.040
BB40019	abs	core	0.539	0.060
BB40011	ref	all	0.630	0.000
BB40011	ref	core	0.697	0.000
BB40037	abs	all	0.688	0.320
BB40037	abs	core	0.813	0.630
BB40023	q3	all	0.515	0.000
BB40023	q3	core	0.601	0.000
BB40008	abs	all	0.805	0.460
BB40008	abs	core	0.859	0.560
BB40021	sov-ipssp	all	0.811	0.490
BB40021	sov-ipssp	core	0.843	0.530
BB40027	ref	all	0.561	0.000
BB40027	ref	core	0.663	0.000
BB40044	sov-ipssp	all	0.779	0.000
BB40044	sov-ipssp	core	0.942	0.000
BB40004	sov-ipssp	all	0.879	0.340
BB40004	sov-ipssp	core	0.927	0.430
BB40019	q3	all	0.804	0.370
BB40019	q3	core	0.848	0.430
BB40020	sov-ipssp	all	0.842	0.610
BB40020	sov-ipssp	core	0.925	0.770
BB40044	ref	all	0.772	0.000
BB40044	ref	core	0.941	0.000
BB40006	q3-ipssp	all	0.607	0.150
BB40006	q3-ipssp	core	0.680	0.230
BB40029	ref	all	0.730	0.110
BB40029	ref	core	0.734	0.190
BB40023	abs	all	0.557	0.000
BB40023	abs	core	0.666	0.000
BB40034	sov	all	0.589	0.190
BB40034	sov	core	0.758	0.320
BB40027	q3	all	0.599	0.000
BB40027	q3	core	0.682	0.000
BB40032	sov-ipssp	all	0.922	0.870
BB40032	sov-ipssp	core	0.979	0.960
BB40028	q3-ipssp	all	0.896	0.610
BB40028	q3-ipssp	core	0.942	0.720
BB40024	ref	all	0.616	0.090
BB40024	ref	core	0.829	0.220
BB40031	sov	all	0.634	0.960
BB40031	sov	core	0.999	0.980
BB40040	sov	all	0.858	0.180
BB40040	sov	core	0.934	0.270
BB40028	q3	all	0.891	0.630
BB40028	q3	core	0.936	0.730
BB40030	sov	all	0.721	0.380
BB40030	sov	core	0.844	0.520
BB40043	ref	all	0.661	0.400
BB40043	ref	core	0.831	0.710
BB40023	ref	all	0.597	0.000
BB40023	ref	core	0.678	0.000
BB40025	sov-ipssp	all	0.819	0.540
BB40025	sov-ipssp	core	0.895	0.730
BB40024	sov-ipssp	all	0.611	0.030
BB40024	sov-ipssp	core	0.818	0.110
BB40046	ref	all	0.582	0.100
BB40046	ref	core	0.806	0.380
BB40011	sov-ipssp	all	0.572	0.000
BB40011	sov-ipssp	core	0.675	0.000
BB40001	sov	all	0.930	0.840
BB40001	sov	core	0.997	0.950
BB40011	sov	all	0.361	0.000
BB40011	sov	core	0.442	0.000
BB40017	ref	all	0.784	0.000
BB40017	ref	core	0.859	0.000
BB40006	abs	all	0.605	0.160
BB40006	abs	core	0.664	0.250
BB40002	q3-ipssp	all	0.543	0.000
BB40002	q3-ipssp	core	0.563	0.000
BB40043	q3-ipssp	all	0.650	0.340
BB40043	q3-ipssp	core	0.798	0.610
BB40009	sov-ipssp	all	0.654	0.310
BB40009	sov-ipssp	core	0.819	0.500
BB40032	q3-ipssp	all	0.917	0.850
BB40032	q3-ipssp	core	0.982	0.960
BB40023	sov-ipssp	all	0.579	0.000
BB40023	sov-ipssp	core	0.683	0.000
BB40021	q3	all	0.846	0.600
BB40021	q3	core	0.887	0.680
BB40004	q3	all	0.896	0.430
BB40004	q3	core	0.946	0.560
BB40008	q3-ipssp	all	0.795	0.440
BB40008	q3-ipssp	core	0.858	0.550
BB40010	abs	all	0.830	0.560
BB40010	abs	core	0.856	0.600
BB40002	q3	all	0.640	0.000
BB40002	q3	core	0.675	0.000
BB40039	sov	all	0.818	0.370
BB40039	sov	core	0.919	0.620
BB40024	q3-ipssp	all	0.608	0.030
BB40024	q3-ipssp	core	0.800	0.110
BB40042	sov	all	0.713	0.180
BB40042	sov	core	0.892	0.310
BB40040	ref	all	0.849	0.160
BB40040	ref	core	0.922	0.270
BB40011	abs	all	0.364	0.000
BB40011	abs	core	0.441	0.000
BB40036	ref	all	0.924	0.580
BB40036	ref	core	0.951	0.700
BB40002	sov	all	0.627	0.000
BB40002	sov	core	0.680	0.000
BB40049	abs	all	0.825	0.190
BB40049	abs	core	0.903	0.330
BB40012	q3	all	0.785	0.430
BB40012	q3	core	0.875	0.600
BB40020	abs	all	0.837	0.600
BB40020	abs	core	0.917	0.750
BB40043	abs	all	0.643	0.330
BB40043	abs	core	0.798	0.600
BB40017	q3-ipssp	all	0.746	0.000
BB40017	q3-ipssp	core	0.798	0.000
BB40032	sov	all	0.913	0.840
BB40032	sov	core	0.988	0.960
BB40016	q3-ipssp	all	0.746	0.000
BB40016	q3-ipssp	core	0.798	0.000
BB40016	abs	all	0.742	0.000
BB40016	abs	core	0.861	0.000
BB40020	sov	all	0.848	0.630
BB40020	sov	core	0.930	0.770
BB40048	ref	all	0.887	0.640
BB40048	ref	core	0.921	0.720
BB40008	q3	all	0.820	0.480
BB40008	q3	core	0.871	0.590
BB40007	sov	all	0.749	0.330
BB40007	sov	core	0.834	0.510
BB40041	abs	all	0.349	0.000
BB40041	abs	core	0.366	0.000
BB40001	ref	all	0.944	0.880
BB40001	ref	core	0.997	0.950
BB40006	sov	all	0.640	0.180
BB40006	sov	core	0.714	0.280
BB40042	q3-ipssp	all	0.646	0.000
BB40042	q3-ipssp	core	0.732	0.000
BB40043	sov-ipssp	all	0.649	0.330
BB40043	sov-ipssp	core	0.799	0.610
BB40045	abs	all	0.398	0.000
BB40045	abs	core	0.509	0.000
BB40025	abs	all	0.848	0.610
BB40025	abs	core	0.921	0.840
BB40038	abs	all	0.677	0.260
BB40038	abs	core	0.769	0.360
BB40013	sov-ipssp	all	0.680	0.270
BB40013	sov-ipssp	core	0.826	0.360
BB40002	ref	all	0.611	0.000
BB40002	ref	core	0.643	0.000
BB40030	abs	all	0.716	0.400
BB40030	abs	core	0.829	0.530
BB40040	q3-ipssp	all	0.815	0.020
BB40040	q3-ipssp	core	0.910	0.000
BB40019	sov-ipssp	all	0.734	0.340
BB40019	sov-ipssp	core	0.779	0.390
BB40037	sov	all	0.760	0.320
BB40037	sov	core	0.890	0.530
BB40033	q3	all	0.763	0.510
BB40033	q3	core	0.845	0.620
BB40027	q3-ipssp	all	0.567	0.000
BB40027	q3-ipssp	core	0.682	0.000
BB40048	sov-ipssp	all	0.892	0.640
BB40048	sov-ipssp	core	0.924	0.720
BB40027	sov	all	0.563	0.000
BB40027	sov	core	0.655	0.000
BB40036	sov	all	0.921	0.550
BB40036	sov	core	0.948	0.690
BB40007	q3	all	0.747	0.330
BB40007	q3	core	0.834	0.510
BB40025	q3	all	0.841	0.600
BB40025	q3	core	0.925	0.840
BB40013	ref	all	0.773	0.420
BB40013	ref	core	0.863	0.680
BB40002	sov-ipssp	all	0.607	0.000
BB40002	sov-ipssp	core	0.662	0.000
BB40039	abs	all	0.794	0.310
BB40039	abs	core	0.887	0.500
BB40005	sov-ipssp	all	0.831	0.550
BB40005	sov-ipssp	core	0.867	0.590
BB40025	sov	all	0.809	0.600
BB40025	sov	core	0.921	0.820
BB40035	sov	all	0.660	0.310
BB40035	sov	core	0.791	0.500
BB40016	ref	all	0.784	0.000
BB40016	ref	core	0.859	0.000
BB40049	sov	all	0.821	0.230
BB40049	sov	core	0.929	0.380
BB40010	sov	all	0.830	0.560
BB40010	sov	core	0.856	0.600
BB40023	sov	all	0.558	0.000
BB40023	sov	core	0.619	0.000
BB40030	ref	all	0.757	0.480
BB40030	ref	core	0.908	0.690
BB40043	sov	all	0.661	0.400
BB40043	sov	core	0.821	0.650
BB40009	sov	all	0.665	0.290
BB40009	sov	core	0.814	0.470
BB40005	sov	all	0.858	0.580
BB40005	sov	core	0.893	0.620
BB40017	abs	all	0.742	0.000
BB40017	abs	core	0.861	0.000
BB40027	sov-ipssp	all	0.562	0.000
BB40027	sov-ipssp	core	0.688	0.000
BB40046	abs	all	0.545	0.080
BB40046	abs	core	0.753	0.230
BB40021	sov	all	0.838	0.530
BB40021	sov	core	0.879	0.590
BB40009	q3-ipssp	all	0.686	0.350
BB40009	q3-ipssp	core	0.828	0.500
BB40015	ref	all	0.805	0.000
BB40015	ref	core	0.805	0.000
BB40024	q3	all	0.618	0.030
BB40024	q3	core	0.807	0.110
BB40015	sov-ipssp	all	0.666	0.000
BB40015	sov-ipssp	core	0.670	0.000
BB40016	sov	all	0.787	0.000
BB40016	sov	core	0.877	0.000
BB40002	abs	all	0.614	0.000
BB40002	abs	core	0.670	0.000
BB40036	q3	all	0.927	0.560
BB40036	q3	core	0.958	0.700
BB40039	q3	all	0.825	0.380
BB40039	q3	core	0.921	0.600
BB40048	sov	all	0.895	0.660
BB40048	sov	core	0.929	0.750
BB40029	sov	all	0.754	0.190
BB40029	sov	core	0.759	0.340
BB40047	ref	all	0.847	0.400
BB40047	ref	core	0.961	0.680
BB40015	abs	all	0.684	0.000
BB40015	abs	core	0.683	0.000
BB40003	abs	all	0.874	0.680
BB40003	abs	core	0.897	0.730
BB40005	ref	all	0.840	0.520
BB40005	ref	core	0.875	0.560
BB40044	sov	all	0.782	0.000
BB40044	sov	core	0.942	0.000
BB40018	q3-ipssp	all	0.781	0.600
BB40018	q3-ipssp	core	0.887	0.800
BB40031	q3	all	0.627	0.990
BB40031	q3	core	0.999	0.980
BB40042	ref	all	0.707	0.000
BB40042	ref	core	0.807	0.000
BB40010	sov-ipssp	all	0.830	0.560
BB40010	sov-ipssp	core	0.856	0.600
BB40047	abs	all	0.832	0.410
BB40047	abs	core	0.921	0.680
BB40040	abs	all	0.838	0.080
BB40040	abs	core	0.906	0.090
BB40035	abs	all	0.665	0.320
BB40035	abs	core	0.805	0.510
BB40037	sov-ipssp	all	0.633	0.110
BB40037	sov-ipssp	core	0.768	0.260
BB40004	ref	all	0.893	0.360
BB40004	ref	core	0.939	0.460
BB40015	q3	all	0.718	0.000
BB40015	q3	core	0.719	0.000
BB40003	q3-ipssp	all	0.870	0.700
BB40003	q3-ipssp	core	0.896	0.750
BB40023	q3-ipssp	all	0.561	0.000
BB40023	q3-ipssp	core	0.673	0.000
BB40018	q3	all	0.790	0.620
BB40018	q3	core	0.907	0.830
BB40018	sov	all	0.788	0.620
BB40018	sov	core	0.905	0.830
BB40035	q3-ipssp	all	0.645	0.300
BB40035	q3-ipssp	core	0.780	0.490
BB40022	sov	all	0.851	0.540
BB40022	sov	core	1.000	1.000
BB40029	q3	all	0.786	0.280
BB40029	q3	core	0.778	0.360
BB40032	abs	all	0.912	0.840
BB40032	abs	core	0.986	0.960
BB40020	q3	all	0.853	0.650
BB40020	q3	core	0.927	0.790
BB40035	ref	all	0.627	0.270
BB40035	ref	core	0.731	0.430
BB40001	sov-ipssp	all	0.951	0.870
BB40001	sov-ipssp	core	0.995	0.920
BB40034	q3	all	0.588	0.190
BB40034	q3	core	0.759	0.320
BB40042	abs	all	0.688	0.100
BB40042	abs	core	0.862	0.200
BB40007	abs	all	0.749	0.330
BB40007	abs	core	0.834	0.510
BB40041	q3	all	0.469	0.000
BB40041	q3	core	0.517	0.000
BB40031	q3-ipssp	all	0.625	0.970
BB40031	q3-ipssp	core	0.997	0.960
BB40038	ref	all	0.679	0.300
BB40038	ref	core	0.815	0.480
BB40007	q3-ipssp	all	0.746	0.320
BB40007	q3-ipssp	core	0.834	0.510
BB40037	q3-ipssp	all	0.679	0.290
BB40037	q3-ipssp	core	0.809	0.530
BB40016	q3	all	0.802	0.000
BB40016	q3	core	0.870	0.000
BB40045	sov	all	0.493	0.100
BB40045	sov	core	0.681	0.230
BB40006	q3	all	0.647	0.200
BB40006	q3	core	0.713	0.280
BB40030	q3-ipssp	all	0.733	0.330
BB40030	q3-ipssp	core	0.863	0.510
BB40031	sov-ipssp	all	0.627	0.970
BB40031	sov-ipssp	core	0.997	0.960
BB40026	sov	all	0.629	0.210
BB40026	sov	core	0.867	0.530
BB40014	q3-ipssp	all	0.714	0.360
BB40014	q3-ipssp	core	0.870	0.550
BB40034	sov-ipssp	all	0.554	0.120
BB40034	sov-ipssp	core	0.687	0.180
BB40003	sov	all	0.866	0.660
BB40003	sov	core	0.890	0.710
BB40044	abs	all	0.778	0.000
BB40044	abs	core	0.936	0.000
BB40046	sov	all	0.570	0.040
BB40046	sov	core	0.745	0.110
BB40047	sov	all	0.828	0.430
BB40047	sov	core	0.922	0.710
BB40028	sov	all	0.891	0.600
BB40028	sov	core	0.936	0.690
BB40022	q3	all	0.835	0.540
BB40022	q3	core	1.000	1.000
BB40004	sov	all	0.901	0.430
BB40004	sov	core	0.951	0.550
BB40013	abs	all	0.722	0.200
BB40013	abs	core	0.840	0.280
BB40039	sov-ipssp	all	0.782	0.390
BB40039	sov-ipssp	core	0.903	0.650
BB40033	sov	all	0.747	0.470
BB40033	sov	core	0.838	0.610
BB40011	q3	all	0.577	0.000
BB40011	q3	core	0.675	0.000
BB40048	abs	all	0.892	0.660
BB40048	abs	core	0.927	0.750
BB40003	q3	all	0.865	0.660
BB40003	q3	core	0.887	0.700
BB40042	sov-ipssp	all	0.531	0.000
BB40042	sov-ipssp	core	0.579	0.000
BB40032	ref	all	0.914	0.850
BB40032	ref	core	0.990	0.980
BB40015	q3-ipssp	all	0.667	0.000
BB40015	q3-ipssp	core	0.670	0.000
BB40026	ref	all	0.570	0.200
BB40026	ref	core	0.794	0.510
BB40001	abs	all	0.929	0.820
BB40001	abs	core	0.997	0.950
BB40006	sov-ipssp	all	0.637	0.160
BB40006	sov-ipssp	core	0.706	0.240
BB40044	q3	all	0.779	0.000
BB40044	q3	core	0.942	0.000
BB40047	q3-ipssp	all	0.834	0.440
BB40047	q3-ipssp	core	0.937	0.760
BB40001	q3-ipssp	all	0.956	0.940
BB40001	q3-ipssp	core	0.997	0.950
BB40025	ref	all	0.846	0.600
BB40025	ref	core	0.938	0.840
BB40028	ref	all	0.876	0.590
BB40028	ref	core	0.927	0.700
BB40040	sov-ipssp	all	0.835	0.020
BB40040	sov-ipssp	core	0.915	0.000
BB40042	q3	all	0.707	0.130
BB40042	q3	core	0.882	0.240
BB40035	sov-ipssp	all	0.634	0.250
BB40035	sov-ipssp	core	0.769	0.450
BB40030	sov-ipssp	all	0.765	0.420
BB40030	sov-ipssp	core	0.924	0.630
BB40008	sov-ipssp	all	0.799	0.450
BB40008	sov-ipssp	core	0.860	0.550
BB40008	ref	all	0.835	0.570
BB40008	ref	core	0.903	0.730
BB40036	sov-ipssp	all	0.910	0.500
BB40036	sov-ipssp	core	0.942	0.610
BB40017	sov-ipssp	all	0.823	0.000
BB40017	sov-ipssp	core	0.947	0.000
BB40012	q3-ipssp	all	0.735	0.310
BB40012	q3-ipssp	core	0.816	0.440
BB40045	ref	all	0.481	0.100
BB40045	ref	core	0.663	0.230
BB40003	ref	all	0.883	0.720
BB40003	ref	core	0.906	0.770
BB40022	q3-ipssp	all	0.852	0.540
BB40022	q3-ipssp	core	1.000	1.000
BB40021	q3-ipssp	all	0.828	0.540
BB40021	q3-ipssp	core	0.859	0.600
BB40004	q3-ipssp	all	0.889	0.370
BB40004	q3-ipssp	core	0.937	0.450
BB40013	q3-ipssp	all	0.696	0.270
BB40013	q3-ipssp	core	0.826	0.360
BB40007	ref	all	0.711	0.190
BB40007	ref	core	0.765	0.270
BB40025	q3-ipssp	all	0.822	0.540
BB40025	q3-ipssp	core	0.904	0.760
BB40008	sov	all	0.816	0.470
BB40008	sov	core	0.871	0.590
BB40035	q3	all	0.656	0.310
BB40035	q3	core	0.790	0.500
BB40005	q3-ipssp	all	0.789	0.480
BB40005	q3-ipssp	core	0.825	0.510
BB40014	q3	all	0.724	0.390
BB40014	q3	core	0.879	0.580
BB40019	sov	all	0.789	0.380
BB40019	sov	core	0.843	0.440
BB40026	q3-ipssp	all	0.561	0.210
BB40026	q3-ipssp	core	0.786	0.520
BB40047	sov-ipssp	all	0.837	0.410
BB40047	sov-ipssp	core	0.927	0.660
BB40010	q3	all	0.830	0.560
BB40010	q3	core	0.856	0.600
BB40017	sov	all	0.787	0.000
BB40017	sov	core	0.877	0.000
BB40019	ref	all	0.786	0.390
BB40019	ref	core	0.838	0.430
BB40004	abs	all	0.889	0.370
BB40004	abs	core	0.941	0.470
BB40046	q3-ipssp	all	0.551	0.050
BB40046	q3-ipssp	core	0.730	0.170
BB40024	abs	all	0.592	0.020
BB40024	abs	core	0.766	0.070
BB40043	q3	all	0.671	0.410
BB40043	q3	core	0.824	0.670
BB40034	ref	all	0.640	0.220
BB40034	ref	core	0.829	0.350
BB40014	sov	all	0.723	0.410
BB40014	sov	core	0.882	0.620
BB40018	ref	all	0.776	0.530
BB40018	ref	core	0.912	0.760
BB40032	q3	all	0.913	0.840
BB40032	q3	core	0.988	0.960
BB40014	ref	all	0.736	0.410
BB40014	ref	core	0.898	0.630
BB40048	q3	all	0.894	0.670
BB40048	q3	core	0.924	0.760
BB40021	ref	all	0.843	0.560
BB40021	ref	core	0.886	0.640
BB40001	q3	all	0.934	0.820
BB40001	q3	core	0.997	0.950
BB40013	sov	all	0.690	0.290
BB40013	sov	core	0.852	0.400
BB40039	q3-ipssp	all	0.789	0.380
BB40039	q3-ipssp	core	0.912	0.630
BB40014	sov-ipssp	all	0.718	0.420
BB40014	sov-ipssp	core	0.891	0.630
BB40037	q3	all	0.712	0.370
BB40037	q3	core	0.848	0.660
BB40022	sov-ipssp	all	0.830	0.540
BB40022	sov-ipssp	core	1.000	1.000
BB40018	sov-ipssp	all	0.791	0.620
BB40018	sov-ipssp	core	0.909	0.830
BB40038	q3	all	0.692	0.260
BB40038	q3	core	0.770	0.360
BB40033	sov-ipssp	all	0.725	0.430
BB40033	sov-ipssp	core	0.795	0.500
BB40009	q3	all	0.655	0.300
BB40009	q3	core	0.798	0.480
BB40017	q3	all	0.802	0.000
BB40017	q3	core	0.870	0.000
BB40012	sov	all	0.783	0.420
BB40012	sov	core	0.873	0.600
BB40018	abs	all	0.780	0.600
BB40018	abs	core	0.886	0.800
BB40048	q3-ipssp	all	0.890	0.650
BB40048	q3-ipssp	core	0.924	0.740
BB40014	abs	all	0.729	0.420
BB40014	abs	core	0.892	0.620
BB40007	sov-ipssp	all	0.746	0.330
BB40007	sov-ipssp	core	0.841	0.540
BB40020	q3-ipssp	all	0.851	0.620
BB40020	q3-ipssp	core	0.934	0.780
BB40010	q3-ipssp	all	0.830	0.560
BB40010	q3-ipssp	core	0.856	0.600
BB40010	ref	all	0.830	0.560
BB40010	ref	core	0.856	0.600
BB40013	q3	all	0.690	0.280
BB40013	q3	core	0.858	0.400
BB40041	q3-ipssp	all	0.283	0.000
BB40041	q3-ipssp	core	0.277	0.000
BB40030	q3	all	0.734	0.390
BB40030	q3	core	0.859	0.540
BB40041	sov-ipssp	all	0.275	0.000
BB40041	sov-ipssp	core	0.290	0.000
BB40012	sov-ipssp	all	0.758	0.310
BB40012	sov-ipssp	core	0.828	0.440
BB40049	q3-ipssp	all	0.827	0.190
BB40049	q3-ipssp	core	0.922	0.330
BB40009	ref	all	0.640	0.330
BB40009	ref	core	0.784	0.490
BB40020	ref	all	0.849	0.610
BB40020	ref	core	0.926	0.760
BB40034	abs	all	0.542	0.120
BB40034	abs	core	0.666	0.180
BB40005	abs	all	0.821	0.520
BB40005	abs	core	0.857	0.560
BB40049	sov-ipssp	all	0.811	0.200
BB40049	sov-ipssp	core	0.897	0.330
BB40022	abs	all	0.835	0.540
BB40022	abs	core	1.000	1.000
BB40011	q3-ipssp	all	0.550	0.000
BB40011	q3-ipssp	core	0.649	0.000
BB40029	abs	all	0.742	0.110
BB40029	abs	core	0.735	0.190
BB40012	abs	all	0.783	0.420
BB40012	abs	core	0.865	0.580
BBS30023	abs	all	0.758	0.330
BBS30023	abs	core	0.861	0.590
BBS30009	q3-ipssp	all	0.549	0.000
BBS30009	q3-ipssp	core	0.586	0.000
BBS30028	q3	all	0.836	0.130
BBS30028	q3	core	0.837	0.140
BBS30020	q3	all	0.470	0.000
BBS30020	q3	core	0.493	0.000
BB30030	sov-ipssp	all	0.854	0.450
BB30030	sov-ipssp	core	0.911	0.500
BB30018	sov	all	0.871	0.330
BB30018	sov	core	0.924	0.610
BB30017	sov-ipssp	all	0.540	0.280
BB30017	sov-ipssp	core	0.661	0.430
BB30014	ref	all	0.697	0.340
BB30014	ref	core	0.761	0.510
BB30008	sov	all	0.677	0.240
BB30008	sov	core	0.743	0.350
BB30010	sov	all	0.889	0.460
BB30010	sov	core	0.942	0.610
BBS30017	abs	all	0.546	0.220
BBS30017	abs	core	0.645	0.350
BB30012	q3	all	0.717	0.320
BB30012	q3	core	0.844	0.630
BB30026	sov-ipssp	all	0.710	0.320
BB30026	sov-ipssp	core	0.892	0.750
BBS30018	q3-ipssp	all	0.864	0.370
BBS30018	q3-ipssp	core	0.900	0.500
BB30020	sov	all	0.605	0.380
BB30020	sov	core	0.708	0.600
BBS30029	sov-ipssp	all	0.793	0.490
BBS30029	sov-ipssp	core	0.876	0.630
BB30028	sov	all	0.838	0.100
BB30028	sov	core	0.839	0.140
BB30004	q3-ipssp	all	0.820	0.440
BB30004	q3-ipssp	core	0.862	0.560
BB30012	sov-ipssp	all	0.712	0.380
BB30012	sov-ipssp	core	0.873	0.740
BBS30026	sov	all	0.701	0.260
BBS30026	sov	core	0.883	0.550
BBS30002	q3-ipssp	all	0.707	0.260
BBS30002	q3-ipssp	core	0.747	0.310
BBS30012	ref	all	0.700	0.350
BBS30012	ref	core	0.870	0.710
BB30012	sov	all	0.725	0.350
BB30012	sov	core	0.858	0.680
BBS30024	sov-ipssp	all	0.671	0.200
BBS30024	sov-ipssp	core	0.950	0.620
BB30007	ref	all	0.614	0.000
BB30007	ref	core	0.633	0.000
BBS30014	q3	all	0.769	0.350
BBS30014	q3	core	0.818	0.510
BB30026	q3-ipssp	all	0.707	0.310
BB30026	q3-ipssp	core	0.892	0.750
BBS30025	q3	all	0.623	0.170
BBS30025	q3	core	0.664	0.190
BBS30017	ref	all	0.541	0.270
BBS30017	ref	core	0.656	0.440
BBS30011	ref	all	0.871	0.540
BBS30011	ref	core	0.893	0.630
BB30001	ref	all	0.794	0.300
BB30001	ref	core	0.803	0.300
BBS30012	q3	all	0.734	0.370
BBS30012	q3	core	0.890	0.690
BB30002	sov	all	0.669	0.240
BB30002	sov	core	0.711	0.300
BB30005	ref	all	0.732	0.280
BB30005	ref	core	0.884	0.660
BB30013	sov	all	0.620	0.180
BB30013	sov	core	0.800	0.440
BBS30019	sov-ipssp	all	0.641	0.180
BBS30019	sov-ipssp	core	0.668	0.180
BBS30029	q3	all	0.790	0.460
BBS30029	q3	core	0.874	0.590
BB30002	q3	all	0.692	0.280
BB30002	q3	core	0.741	0.340
BB30012	abs	all	0.717	0.330
BB30012	abs	core	0.849	0.650
BBS30023	sov	all	0.758	0.320
BBS30023	sov	core	0.856	0.580
BB30004	sov	all	0.817	0.420
BB30004	sov	core	0.859	0.530
BB30009	sov	all	0.497	0.000
BB30009	sov	core	0.544	0.000
BBS30030	q3-ipssp	all	0.857	0.440
BBS30030	q3-ipssp	core	0.881	0.410
BB30023	q3-ipssp	all	0.742	0.260
BB30023	q3-ipssp	core	0.851	0.480
BB30025	q3	all	0.573	0.000
